    Puppi_pdgId  Puppi_phi  Puppi_eta  Puppi_pt  Puppi_GenPiIdx  Puppi_phi_FP  Puppi_eta_FP  Puppi_pt_FP
0           211   0.479966   1.487893      3.25              -1           109           341           13
1           211   0.039270   1.640610      2.50              -1             9           376           10
2           211   0.222529   1.754056      2.00              -1            50           401            8
3            11  -2.072578  -1.108284      2.00              -1          -474          -254            8
4           211   1.762783  -1.034108      2.75              -1           404          -236           11
5           211  -0.148353  -1.496620      2.50              -1           -33          -342           10
6           211   1.042834  -2.373648      2.50              -1           238          -543           10
7          -211   0.440696   1.557706      3.75              -1           101           356           15
8          -211  -1.226094  -1.343904      2.25              -1          -280          -308            9
9           211   1.370083   1.810779      4.00              -1           313           414           16
10         -211   1.025381   1.662426      2.25              -1           235           381            9
11          211  -1.514073  -0.021817      2.25              -1          -347            -4            9
12         -211   2.111848  -2.042035      2.25              -1           483          -467            9
13          211   3.063053  -2.138028      2.75              -1           702          -490           11
14          130  -0.226893   0.213803      2.50              -1           -51            48           10
15          211  -1.946042   0.148353      2.25              -1          -445            33            9
16         -211  -2.788163  -2.046399      5.50              -1          -638          -469           22
17         -211  -2.831797   0.479966     30.75               0          -648           109          123
18         -211  -0.506145   0.200713     25.00               1          -115            45          100
19          130  -2.818707   0.493056      6.75              -1          -646           113           27
20           22  -0.479966   0.357792      1.00              -1          -109            82            4
21           22   0.008727   0.724312      2.00              -1             1           166            8
22         -211  -0.213803   0.789761      2.00              -1           -48           180            8
23         -211  -1.557706   2.194752      2.50              -1          -356           502           10
24          211   0.479966   1.487893      3.25              -1           109           341           13
25          211   1.989675   1.108284     19.75               2           455           254           79
26          211   0.855211   1.370083     15.00              -1           195           313           60
27          211  -0.728675   1.130101      2.25              -1          -166           259            9
28          211  -0.148353  -1.496620      2.50              -1           -33          -342           10
29          130   1.016654   1.330814      4.25              -1           232           304           17
30         -211  -0.999201  -2.103122      2.50              -1          -229          -482           10
31           22   0.497419   1.457350      1.25              -1           113           333            5
32          211  -0.728675   1.300270      4.75              -1          -166           298           19
