idx | pdg_id | phi  | eta  | pt 
--------------------------------
312 | 0      | 0    | 0    | 0  
313 | 211    | -713 | -270 | 11 
314 | -211   | -406 | -306 | 10 
315 | -211   | -406 | -306 | 10 
316 | -211   | 583  | -199 | 12 
317 | -211   | -565 | -126 | 11 
318 | 211    | -138 | -213 | 9  
319 | -11    | -673 | -71  | 11 
320 | -211   | -460 | -60  | 15 
321 | 211    | -385 | -55  | 10 
322 | -211   | -332 | -87  | 8  
323 | 211    | 279  | 30   | 11 
324 | -211   | 278  | 16   | 13 
325 | 130    | 356  | 23   | 11 
326 | 211    | -537 | 48   | 9  
327 | 211    | 90   | 128  | 8  
328 | -211   | 126  | 207  | 10 
329 | 211    | 527  | 131  | 22 
330 | 211    | 578  | 138  | 9  
331 | 211    | 578  | 137  | 9  
332 | 22     | 530  | 138  | 8  
333 | -211   | 533  | 132  | 24 
334 | 22     | 714  | 162  | 6  
335 | -211   | 690  | 129  | 12 
336 | -13    | 102  | 237  | 17 
337 | 211    | 310  | 333  | 11 
338 | -211   | -610 | 280  | 10 
339 | 211    | -475 | 340  | 9  
340 | 211    | -136 | 321  | 9  
341 | 211    | -26  | -540 | 13 
342 | 211    | 231  | -346 | 9  
343 | -211   | 57   | -537 | 9  
344 | 211    | 517  | -500 | 10 
345 | 211    | 509  | -478 | 9  
346 | -211   | 332  | -359 | 9  
347 | 211    | -518 | -544 | 8  
348 | 211    | -235 | -408 | 9  
349 | 211    | -157 | -421 | 8  
350 | -211   | -35  | 398  | 13 
351 | -211   | -105 | 455  | 8  
352 | 211    | 214  | 454  | 26 
353 | -211   | 56   | 486  | 10 
354 | -211   | 300  | 347  | 11 
355 | -211   | 255  | 468  | 10 
356 | -211   | 210  | 428  | 9  
357 | -211   | 557  | 542  | 11 
358 | -211   | 646  | 474  | 10 
359 | 211    | -475 | 340  | 9  
360 | 211    | -386 | 542  | 9  
361 | -211   | -351 | 514  | 14 
362 | -211   | -397 | 470  | 10 
363 | 22     | -403 | 616  | 113
364 | 0      | 0    | 0    | 0  
365 | 0      | 0    | 0    | 0  
366 | 0      | 0    | 0    | 0  
367 | 0      | 0    | 0    | 0  
368 | 0      | 0    | 0    | 0  
369 | 0      | 0    | 0    | 0  
370 | 0      | 0    | 0    | 0  
371 | 0      | 0    | 0    | 0  
372 | 0      | 0    | 0    | 0  
373 | 0      | 0    | 0    | 0  
374 | 0      | 0    | 0    | 0  
375 | 0      | 0    | 0    | 0  
376 | 0      | 0    | 0    | 0  
377 | 0      | 0    | 0    | 0  
378 | 0      | 0    | 0    | 0  
379 | 0      | 0    | 0    | 0  
380 | 0      | 0    | 0    | 0  
381 | 0      | 0    | 0    | 0  
382 | 0      | 0    | 0    | 0  
383 | 0      | 0    | 0    | 0  
384 | 0      | 0    | 0    | 0  
385 | 0      | 0    | 0    | 0  
386 | 0      | 0    | 0    | 0  
387 | 0      | 0    | 0    | 0  
388 | 0      | 0    | 0    | 0  
389 | 0      | 0    | 0    | 0  
390 | 0      | 0    | 0    | 0  
391 | 0      | 0    | 0    | 0  
392 | 0      | 0    | 0    | 0  
393 | 0      | 0    | 0    | 0  
394 | 0      | 0    | 0    | 0  
395 | 0      | 0    | 0    | 0  
396 | 0      | 0    | 0    | 0  
397 | 0      | 0    | 0    | 0  
398 | 0      | 0    | 0    | 0  
399 | 0      | 0    | 0    | 0  
400 | 0      | 0    | 0    | 0  
401 | 0      | 0    | 0    | 0  
402 | 0      | 0    | 0    | 0  
403 | 0      | 0    | 0    | 0  
404 | 0      | 0    | 0    | 0  
405 | 0      | 0    | 0    | 0  
406 | 0      | 0    | 0    | 0  
407 | 0      | 0    | 0    | 0  
408 | 0      | 0    | 0    | 0  
409 | 0      | 0    | 0    | 0  
410 | 0      | 0    | 0    | 0  
411 | 0      | 0    | 0    | 0  
412 | 0      | 0    | 0    | 0  
413 | 0      | 0    | 0    | 0  
414 | 0      | 0    | 0    | 0  
415 | 0      | 0    | 0    | 0  
